"Topic","Q#","Difficulty","Question","Option A","Option B","Option C","Option D","Correct (1-4)","Correct Answer Text","Explanation"
"psych-neurocognitive","10","easy","First-line pharmacological treatment for alcohol withdrawal is:","Haloperidol","Benzodiazepines (e.g. diazepam)","Naltrexone","Disulfiram","2","Benzodiazepines (e.g. diazepam)","Benzodiazepines (GABA-A agonists) are first-line for alcohol withdrawal — they cross-tolerate with alcohol and prevent seizures and delirium tremens."
"psych-neurocognitive","11","medium","Naltrexone reduces alcohol cravings primarily by:","Inhibiting aldehyde dehydrogenase","Blocking mu-opioid receptors that mediate the reinforcing effects of alcohol","Enhancing GABA transmission","Blocking dopamine reuptake","2","Blocking mu-opioid receptors that mediate the reinforcing effects of alcohol","Naltrexone (opioid antagonist) blocks the opioid-mediated euphoria and reward associated with alcohol, reducing craving and relapse rate."
"psych-neurocognitive","12","medium","Opioid withdrawal is life-threatening:","Frequently, due to respiratory depression","Rarely, as it is primarily uncomfortable but not directly fatal","Always if untreated","Only in neonatal abstinence syndrome","2","Rarely, as it is primarily uncomfortable but not directly fatal","Unlike alcohol or benzodiazepine withdrawal (can be fatal), opioid withdrawal is medically uncomfortable (flu-like, diarrhoea, pain) but rarely directly fatal in healthy adults."
"psych-neurocognitive","13","medium","Methadone maintenance therapy for opioid use disorder works through:","Partial agonism at mu-opioid receptors","Full mu-opioid agonism with slow onset and long half-life reducing cravings","Antagonism of opioid receptors","Enhancing endogenous endorphin release","2","Full mu-opioid agonism with slow onset and long half-life reducing cravings","Methadone is a long-acting full mu-opioid agonist. Its slow onset prevents euphoria; its long half-life prevents withdrawal, reducing craving and illicit use."
"psych-neurocognitive","14","easy","Which cognitive test is a brief, validated screening tool for dementia in primary care?","PANSS","MMSE and/or MoCA","CAGE","HAM-A","2","MMSE and/or MoCA","The Mini-Mental State Examination (MMSE) and Montreal Cognitive Assessment (MoCA) are widely used validated screening tools. MoCA is more sensitive for mild impairment."
"psych-neurocognitive","15","hard","MDMA (ecstasy) primarily exerts its effects by:","Blocking dopamine reuptake","Massively increasing serotonin, dopamine, and noradrenaline release","Direct serotonin receptor agonism","Inhibiting monoamine oxidase","2","Massively increasing serotonin, dopamine, and noradrenaline release","MDMA forces monoamine transporters to run in reverse, flooding the synapse with 5-HT, dopamine, and NA. The massive serotonin surge produces empathogenic and psychedelic effects."
"psych-neurocognitive","16","easy","The acetylcholinesterase inhibitors donepezil, rivastigmine, and galantamine are used in Alzheimer's disease because:","They reverse amyloid deposition","They compensate for cholinergic deficit by preventing acetylcholine breakdown","They block glutamate excitotoxicity","They enhance neurogenesis","2","They compensate for cholinergic deficit by preventing acetylcholine breakdown","Alzheimer's has a profound cholinergic deficit. AChEIs prevent breakdown of ACh at synapses, increasing cholinergic transmission. They produce modest symptomatic benefit but do not modify disease course."
"psych-neurocognitive","17","easy","Delirium is distinguished from dementia by:","The presence of cognitive impairment","Acute onset and fluctuating course","Occurrence only in elderly patients","Response to antipsychotics","2","Acute onset and fluctuating course","Delirium: acute onset, fluctuating course, inattention, and typically reversible. Dementia: gradual onset, progressive, persistent. Delirium on dementia (""acute-on-chronic"") is common."
"psych-neurocognitive","18","medium","Cannabis use disorder is characterised by withdrawal symptoms that primarily include:","Seizures and autonomic instability","Irritability, anxiety, insomnia, decreased appetite, and restlessness","Severe depression and suicidality","Psychosis only","2","Irritability, anxiety, insomnia, decreased appetite, and restlessness","Cannabis withdrawal: irritability, anxiety, sleep disturbance, decreased appetite, restlessness, and depressed mood — typically starting 1–3 days after cessation and peaking at week 1."
"psych-neurocognitive","19","medium","Vascular dementia typically shows which pattern of cognitive decline?","Gradual, insidious onset with progressive linear decline","Stepwise deterioration following strokes, with focal neurological signs","Initial memory loss with late behavioural change","Fluctuating cognition with visual hallucinations","2","Stepwise deterioration following strokes, with focal neurological signs","Vascular dementia: stepwise decline correlating with stroke events, focal neurological signs, and white matter changes on MRI. Risk factors: hypertension, diabetes, atrial fibrillation."
"psych-neurocognitive","20","easy","Stimulant medications (methylphenidate, amphetamine) for ADHD primarily act by:","Blocking serotonin reuptake","Blocking dopamine and noradrenaline reuptake transporters","Directly stimulating alpha-2 adrenoceptors","Blocking NMDA receptors","2","Blocking dopamine and noradrenaline reuptake transporters","Methylphenidate blocks DAT and NET; amphetamines also reverse the transporters to release DA/NE. This increases catecholaminergic tone in the prefrontal cortex, improving attention."
"psych-neurocognitive","21","medium","A patient presents with confusion, ataxia, and ophthalmoplegia. This triad is diagnostic of:","Wernicke\'s encephalopathy","Normal pressure hydrocephalus","Delirium tremens","Hepatic encephalopathy","1","Wernicke\'s encephalopathy","Wernicke's encephalopathy (acute thiamine deficiency): confusion, ataxia, ophthalmoplegia (Wernicke's triad). Only 10–15% have all three. Treat immediately with IV thiamine."
"psych-neurocognitive","22","hard","Which of the following is a clinical feature that helps differentiate DLB from Alzheimer's disease?","Memory impairment","Response to AChEIs","REM sleep behaviour disorder (RBD)","Age of onset over 65","3","REM sleep behaviour disorder (RBD)","REM sleep behaviour disorder (acting out dreams, injury during sleep) is a core feature of DLB and is rare in Alzheimer's. It can precede cognitive symptoms by years (prodromal DLB/Parkinson's)."
"psych-neurocognitive","23","medium","Normal pressure hydrocephalus (NPH) classically presents with:","Headache, vomiting, papilloedema","Gait disturbance, urinary incontinence, and cognitive decline (Hakim\'s triad)","Acute onset confusion and autonomic instability","Visual hallucinations and parkinsonism","2","Gait disturbance, urinary incontinence, and cognitive decline (Hakim\'s triad)","NPH: magnetic gait (shuffling, wide-based), urinary incontinence, and cognitive decline. It is treatable (VP shunt) — diagnosis matters as a reversible cause of dementia."
"psych-neurocognitive","24","easy","DSM-5 specifies that ADHD symptoms must be present before what age for diagnosis?","3 years","7 years","12 years","16 years","3","12 years","DSM-5 changed the age criterion from DSM-IV's 7 years to 12 years for first symptom onset to capture adults and late-presenting cases."
"psych-neurocognitive","25","easy","Which neurotransmitter system is most implicated in the rewarding effects of all major drugs of abuse?","Serotonin system","Dopaminergic mesolimbic reward pathway","GABA system","Cholinergic system","2","Dopaminergic mesolimbic reward pathway","All major drugs of abuse ultimately increase dopamine in the nucleus accumbens (mesolimbic reward pathway) — directly (cocaine, amphetamines) or indirectly (opioids, cannabis, alcohol)."
"psych-personality-disorders","1","easy","DSM-5 personality disorders are characterised by:","Episodic mood disturbances lasting weeks","Enduring patterns of inner experience and behaviour deviating from cultural expectations, inflexible across contexts","Symptoms that began in adulthood only","Complete lack of insight about the condition","2","Enduring patterns of inner experience and behaviour deviating from cultural expectations, inflexible across contexts","PDs: pervasive, enduring patterns stable since adolescence/early adulthood, causing significant distress/impairment, deviating markedly from cultural norms."
"psych-personality-disorders","2","easy","Borderline personality disorder (BPD) is defined by which core feature?","Persistent delusions of grandeur","Pervasive instability in interpersonal relationships, self-image, affect, and marked impulsivity","Detachment from social relationships and restricted affect","Excessive emotionality and attention-seeking behaviour","2","Pervasive instability in interpersonal relationships, self-image, affect, and marked impulsivity","BPD: fear of abandonment, unstable relationships, identity disturbance, impulsivity, self-harm, emotional dysregulation, chronic emptiness, and transient paranoia under stress."
"psych-personality-disorders","3","easy","Which psychotherapy has the strongest evidence base for borderline personality disorder?","Cognitive behavioural therapy (CBT)","Dialectical behaviour therapy (DBT)","Psychodynamic therapy","Supportive therapy","2","Dialectical behaviour therapy (DBT)","DBT (Linehan) was developed specifically for BPD. It combines individual therapy, skills training (mindfulness, distress tolerance, emotion regulation, interpersonal effectiveness), and phone coaching."
"psych-personality-disorders","4","medium","Antisocial personality disorder (ASPD) requires evidence of conduct disorder before age:","12","15","18","21","2","15","DSM-5: ASPD requires conduct disorder symptoms before age 15. The individual must also be at least 18 years old at time of diagnosis."
"psych-personality-disorders","5","easy","The ""splitting"" defence mechanism is most associated with:","Narcissistic PD","Antisocial PD","Borderline PD","Dependent PD","3","Borderline PD","Splitting (viewing people as all good or all bad without ambivalence) is the hallmark primitive defence in BPD, driving rapid idealisation-devaluation cycles."
"psych-personality-disorders","6","easy","Narcissistic personality disorder is characterised by:","Fear of abandonment and self-harm","Grandiosity, need for admiration, and lack of empathy","Magical thinking and odd beliefs","Excessive clinging and submissive behaviour","2","Grandiosity, need for admiration, and lack of empathy","NPD: grandiose sense of self-importance, preoccupation with fantasies of success, need for admiration, sense of entitlement, exploitative, lacks empathy, envious, arrogant."
"psych-personality-disorders","7","easy","Which cluster of personality disorders includes paranoid, schizoid, and schizotypal PD?","Cluster A (odd/eccentric)","Cluster B (dramatic/emotional)","Cluster C (anxious/fearful)","Cluster D (not a real DSM cluster)","1","Cluster A (odd/eccentric)","DSM-5 Cluster A = odd/eccentric: paranoid, schizoid, schizotypal. Cluster B = dramatic: antisocial, borderline, histrionic, narcissistic. Cluster C = anxious: avoidant, dependent, obsessive-compulsive."
"psych-personality-disorders","8","easy","Autism spectrum disorder (ASD) is diagnosed in DSM-5 based on deficits in:","Only verbal communication","Social communication/interaction AND restricted, repetitive behaviours","Intelligence and adaptive functioning","Emotional regulation and impulse control","2","Social communication/interaction AND restricted, repetitive behaviours","DSM-5 ASD requires deficits in social communication/interaction (domain A) AND restricted, repetitive behaviours/interests (domain B), present since early development."
"psych-personality-disorders","9","medium","The Triad of Impairments in autism (Wing's triad) includes:","Memory, language, and motor function","Social interaction, communication, and imagination/flexible thinking","Emotion recognition, empathy, and self-regulation","Attention, hyperactivity, and impulsivity","2","Social interaction, communication, and imagination/flexible thinking","Wing's triad (now largely superseded by DSM-5 dyad): impaired social interaction, impaired communication, and restricted/repetitive behaviours (imagination/flexibility). DSM-5 combines social-communication into one domain."
"psych-personality-disorders","10","medium","In obsessive-compulsive personality disorder (OCPD), the patient's traits are typically:","Ego-dystonic (distressing and unwanted)","Ego-syntonic (consistent with self-image and valued)","Associated with compulsive rituals responding to obsessions","Limited to contamination fears","2","Ego-syntonic (consistent with self-image and valued)","OCPD traits (perfectionism, rigidity, orderliness) are ego-syntonic — the patient sees them as virtues. OCD obsessions/compulsions are ego-dystonic (unwanted, distressing)."
"psych-personality-disorders","11","medium","Which personality disorder is most associated with Cluster B dramatic emotional presentation and hypersexuality/attention seeking?","Narcissistic PD","Histrionic PD","Antisocial PD","Borderline PD","2","Histrionic PD","Histrionic PD: pervasive attention-seeking, theatrical, rapidly shifting emotions, uses physical appearance to attract, impressionistic speech, shallow affect."
"psych-personality-disorders","12","medium","ADHD in adults most commonly presents with predominance of:","Hyperactivity","Impulsivity","Inattentive symptoms","Combined hyperactive-impulsive and inattentive equally","3","Inattentive symptoms","In adults, hyperactivity typically diminishes and inattentive symptoms (disorganisation, forgetfulness, difficulty sustaining attention) become the dominant presentation."
"psych-personality-disorders","13","medium","Paranoid personality disorder (PPD) is distinguished from paranoid schizophrenia by:","Severity of suspiciousness","Absence of frank psychotic episodes (hallucinations/delusions)","Duration of symptoms","Response to antipsychotics","2","Absence of frank psychotic episodes (hallucinations/delusions)","PPD: pervasive distrust and suspiciousness WITHOUT frank psychosis (sustained hallucinations or delusions meeting schizophrenia criteria). Transient stress-related paranoia can occur in PPD."
"psych-personality-disorders","14","hard","Mentalization-based treatment (MBT) for BPD focuses on improving the patient's ability to:","Challenge cognitive distortions","Understand mental states (thoughts, feelings, beliefs) in self and others","Use mindfulness techniques","Build structured behavioural routines","2","Understand mental states (thoughts, feelings, beliefs) in self and others","MBT (Fonagy & Bateman) targets mentalising capacity — the ability to understand that behaviour is driven by mental states. BPD patients lose mentalising ability under attachment stress."
"psych-personality-disorders","15","easy","Schizoid personality disorder is characterised by:","Magical thinking and odd perceptions","Detachment from social relationships and restricted emotional expression","Fear of social situations due to anticipated humiliation","Unstable identity and self-harm","2","Detachment from social relationships and restricted emotional expression","Schizoid PD: preference for solitude, no desire for close relationships (including romantic), emotional coldness, lack of pleasure in activities, indifference to praise or criticism."
"psych-personality-disorders","16","hard","Avoidant personality disorder is differentiated from social anxiety disorder primarily by:","Presence of avoidance","Severity of impairment","Pervasive avoidance extending to most relationships due to feelings of inadequacy (not just feared evaluation)","Response to SSRIs","3","Pervasive avoidance extending to most relationships due to feelings of inadequacy (not just feared evaluation)","Avoidant PD: pervasive pattern across all social situations driven by feelings of inadequacy and inferiority. Social anxiety disorder is more situationally specific. They frequently co-occur and overlap."
"psych-personality-disorders","17","easy","Intellectual disability (ID) in DSM-5 is defined by deficits in:","IQ below 70 alone","Intellectual functioning AND adaptive behaviour, with onset during the developmental period","Academic achievement only","Social communication only","2","Intellectual functioning AND adaptive behaviour, with onset during the developmental period","DSM-5 ID: deficits in both intellectual functioning (IQ ~70 or below) AND adaptive functioning (conceptual, social, practical domains), with onset during the developmental period."
"psych-personality-disorders","18","hard","The ""dark triad"" of personality traits in psychology consists of:","Paranoia, narcissism, and histrionism","Narcissism, Machiavellianism, and psychopathy","ASPD, NPD, and BPD","Narcissism, sadism, and paranoia","2","Narcissism, Machiavellianism, and psychopathy","The Dark Triad: narcissism (grandiosity, entitlement), Machiavellianism (strategic manipulation, amorality), and psychopathy (callousness, impulsivity, antisocial behaviour)."
"psych-personality-disorders","19","medium","Tourette's disorder requires both motor AND vocal tics that have been present for at least:","3 months","6 months","1 year","2 years","3","1 year","DSM-5 Tourette's: multiple motor tics AND ≥1 vocal tic for ≥1 year (not necessarily simultaneously), starting before age 18."
"psych-personality-disorders","20","hard","Which medications have evidence for reducing self-harm in BPD?","Antipsychotics are the only evidence-based option","No medication has evidence; DBT is the only proven treatment","Mood stabilisers (e.g. lamotrigine, valproate) and low-dose antipsychotics show some benefit for impulsivity and aggression","SSRIs are the first-line and have strong RCT evidence","3","Mood stabilisers (e.g. lamotrigine, valproate) and low-dose antipsychotics show some benefit for impulsivity and aggression","BPD pharmacotherapy has limited evidence. Mood stabilisers (valproate, lamotrigine) and low-dose antipsychotics may help specific symptoms (impulsivity, aggression). No medication is FDA-approved for BPD."
"psych-personality-disorders","21","easy","Dependent personality disorder is characterised by:","Fear of intimacy and preference for solitude","Excessive need to be taken care of, submissive behaviour, clinging, fear of separation","Perfectionism and rigidity","Distrust of others\' motives","2","Excessive need to be taken care of, submissive behaviour, clinging, fear of separation","Dependent PD: difficulty making decisions without reassurance, needs others to assume responsibility, fears disagreement, cannot initiate activities alone, urgently seeks new relationships when one ends."
"psych-personality-disorders","22","medium","Sensory processing differences in autism spectrum disorder can manifest as:","Only hypersensitivity to stimuli","Either hyper- or hyposensitivity to sensory input (or both)","Only visual processing difficulties","Exclusively auditory processing deficits","2","Either hyper- or hyposensitivity to sensory input (or both)","ASD sensory abnormalities include both hyperreactivity (distress to specific sounds, textures) and hyporeactivity (apparent indifference to pain/temperature). DSM-5 includes sensory differences in the RRB domain."
"psych-personality-disorders","23","medium","In structured therapy settings, which transference pattern is most commonly observed in patients with BPD?","Idealisation followed by rapid devaluation of the therapist","Stable, trusting therapeutic alliance from session one","Persistent idealisation throughout treatment","Hostile detachment without idealisation","1","Idealisation followed by rapid devaluation of the therapist","BPD patients frequently idealise the therapist initially then devalue them when perceived as abandoning or failing — a direct expression of splitting in the therapeutic relationship."
"psych-personality-disorders","24","medium","Dyslexia (specific learning disorder with reading impairment) is most accurately defined as:","Below-average IQ combined with poor reading","Persistent reading difficulties unexpected for age, IQ, and educational opportunity","Reading difficulty caused by poor teaching","An acquired deficit following brain injury","2","Persistent reading difficulties unexpected for age, IQ, and educational opportunity","Dyslexia: specific, persistent reading difficulties (accuracy, fluency, comprehension) unexplained by intellectual disability, sensory deficit, or inadequate instruction — with phonological processing as the core deficit."
"psych-personality-disorders","25","medium","The minimum number of criteria from each polythetic set required to diagnose borderline personality disorder in DSM-5 is:","3 out of 9","4 out of 9","5 out of 9","7 out of 9","3","5 out of 9","DSM-5 BPD: ≥5 of 9 criteria required (polythetic diagnosis), meaning two patients can share the diagnosis with minimal symptom overlap — contributing to BPD's clinical heterogeneity."
"psych-nursing-communication","1","easy","A patient says ""I feel like no one cares about me."" The BEST therapeutic response is:","""I\'m sure your family cares about you.""","""Tell me more about what you\'re experiencing.""","""You should focus on positive thoughts.""","""Everyone feels that way sometimes.""","2","""Tell me more about what you\'re experiencing.""","Broad openings encourage the patient to elaborate and feel heard. Reassuring platitudes, clichés, or minimising responses block therapeutic communication."
"psych-nursing-communication","2","easy","Which intervention is the HIGHEST nursing priority for a patient expressing active suicidal ideation?","Notify the physician","Remove harmful objects from the environment","Place the patient on 1:1 constant observation","Document the risk assessment in the notes","3","Place the patient on 1:1 constant observation","Constant 1:1 observation is the immediate safety priority to prevent self-harm. All other actions follow, but patient safety takes precedence."
"psych-nursing-communication","3","medium","A patient on a psychiatric unit threatens to harm another patient. The nurse should FIRST:","Physically restrain the patient","Notify security immediately and remove other patients from area","Ask the patient what is upsetting them","Administer PRN medication","2","Notify security immediately and remove other patients from area","Safety of all patients is the first priority — remove potential victims and call for assistance. Attempting to engage verbally or restrain alone without backup is unsafe."
"psych-nursing-communication","4","easy","The nurse is caring for a patient in seclusion. Which action is MOST important?","Leave the patient alone to reduce stimulation","Monitor every 15 minutes and document vital signs, behaviour, and hydration","Keep the door locked and check once per shift","Remove all clothing to prevent self-harm","2","Monitor every 15 minutes and document vital signs, behaviour, and hydration","Seclusion requires frequent monitoring (typically every 15 min per Joint Commission standards), ongoing documentation, and ensuring patient dignity, hydration, and toileting needs."
"psych-nursing-communication","5","medium","A patient with depression states ""Things will never get better."" The nurse's BEST response is:","""I\'m sure they will — you just need to be positive.""","""Are you thinking about hurting yourself?""","""You\'ve felt this way before and you got through it.""","""A lot of patients feel that way.""","2","""Are you thinking about hurting yourself?""","Hopelessness is a significant suicide risk factor. The nurse should assess suicidal ideation directly — asking about suicide does not plant the idea and is essential safety practice."
"psych-nursing-communication","6","medium","Which statement about restraint use on a psychiatric unit is CORRECT?","Restraints can be applied by nursing staff without a physician order if imminent danger exists, but an order must be obtained within 1 hour","Restraints are always the first intervention for aggressive patients","Chemical restraints are preferred over physical restraints in all situations","Restraints can be maintained for 24 hours without reassessment","1","Restraints can be applied by nursing staff without a physician order if imminent danger exists, but an order must be obtained within 1 hour","Nurses may apply emergency restraints when patient/others are in imminent danger, but a physician order must be obtained within 1 hour (per Joint Commission/CMS standards). Restraint is always a last resort."
"psych-nursing-communication","7","easy","Milieu therapy in inpatient psychiatry is based on which principle?","Medications are the primary treatment modality","The therapeutic environment itself is a treatment tool","Patients should be isolated to prevent symptom contagion","Staff authority is non-negotiable","2","The therapeutic environment itself is a treatment tool","Milieu therapy: the entire social and physical environment is used therapeutically — safety, peer support, structure, and normative social interactions all contribute to recovery."
"psych-nursing-communication","8","easy","The nurse-patient relationship is BEST described as:","Mutual friendship based on shared interests","A professional relationship with defined goals and therapeutic boundaries","An informal relationship to reduce patient anxiety","A relationship where the nurse\'s needs are met alongside the patient\'s","2","A professional relationship with defined goals and therapeutic boundaries","The therapeutic relationship (Peplau) is professional, purposeful, time-limited, and boundary-maintained. It exists solely to meet the patient's needs — self-disclosure and personal relationship are contraindicated."
"psych-nursing-communication","9","medium","A patient who is manic is pacing the corridor, speaking loudly, and attempting to reorganise the nursing station. The BEST initial nursing intervention is:","Set firm verbal limits in a calm, low-stimulation environment","Involve the patient in group therapy immediately","Allow the patient to continue to expend energy safely","Place the patient in seclusion","1","Set firm verbal limits in a calm, low-stimulation environment","Reduced stimulation and calm, firm limits help contain manic behaviour. The nurse should redirect the patient to a quiet area and set expectations clearly. Seclusion is a last resort."
"psych-nursing-communication","10","easy","De-escalation techniques for an agitated patient include which of the following?","Maintain direct eye contact and stand close to show authority","Speak in a calm, low, slow tone and offer personal space","Physically block exit routes to maintain engagement","Involve multiple staff simultaneously to show strength","2","Speak in a calm, low, slow tone and offer personal space","De-escalation: calm voice, non-threatening body language, offer personal space, active listening, avoid confrontation. Crowding, blocking exits, or power displays escalate agitation."
"psych-nursing-communication","11","medium","A patient discloses a specific plan to harm a named third party. The nurse's LEGAL obligation is:","Maintain confidentiality as part of the therapeutic relationship","Document the disclosure and inform the multidisciplinary team only","Warn the identified potential victim and notify appropriate authorities (duty to warn/protect)","Report only if the patient has a history of violence","3","Warn the identified potential victim and notify appropriate authorities (duty to warn/protect)","The Tarasoff duty to warn/protect: when a patient makes a credible threat against an identifiable person, the clinician has a legal obligation to warn the victim and notify authorities."
"psych-nursing-communication","12","easy","Which communication technique is MOST therapeutic when a patient is in acute distress?","Offering advice and solutions","Active listening with reflective statements","Changing the subject to reduce distress","Providing factual information about coping","2","Active listening with reflective statements","Active listening with reflection validates the patient's experience and builds therapeutic alliance. Advice-giving and subject changes block communication and invalidate feelings."
"psych-nursing-communication","13","easy","A patient invites the nurse to their home after discharge. The BEST response is:","""I\'d love to — we\'ve built a great relationship.""","""It is against professional and ethical guidelines for me to have a social relationship with patients.""","""Once you\'re discharged, we\'re just friends.""","""Perhaps if you check with the manager first.""","2","""It is against professional and ethical guidelines for me to have a social relationship with patients.""","Maintaining professional boundaries is non-negotiable. Social relationships with former patients are ethically prohibited in most nursing codes due to ongoing power dynamics and vulnerability."
"psych-nursing-communication","14","medium","The concept of ""least restrictive environment"" in psychiatric nursing means:","Using the lowest-cost treatment setting","Providing care in the setting with minimum restriction on patient freedom consistent with safe and effective treatment","Avoiding all physical interventions","Using community-based care exclusively","2","Providing care in the setting with minimum restriction on patient freedom consistent with safe and effective treatment","Least restrictive environment is a foundational psychiatric-legal principle: patients have the right to receive treatment in the setting that best promotes autonomy while ensuring safety."
"psych-nursing-communication","15","medium","An involuntary patient refuses prescribed medication. The nurse should:","Administer the medication regardless of refusal","Consult the psychiatrist and document; medication cannot be given without consent except in emergency","Crush medication in food without telling the patient","Discharge the patient if they refuse","2","Consult the psychiatrist and document; medication cannot be given without consent except in emergency","Even involuntary patients retain the right to refuse medication in non-emergency situations (varies by jurisdiction). The nurse must consult the psychiatrist, document, and explore alternatives. Covert administration is illegal."
"psych-nursing-communication","16","easy","A suicidal patient is placed on close observation. Which nursing action is MOST important?","Allow the patient to use the bathroom alone for privacy","Check on the patient every 30 minutes during the night","Ensure the patient is within line of sight at all times","Conduct observation checks only when the patient appears distressed","3","Ensure the patient is within line of sight at all times","Close (constant) observation means the patient must be within the nurse's line of sight at all times — including toileting. The highest-risk time is often when supervision lapses."
"psych-nursing-communication","17","easy","Which approach BEST supports a patient's dignity during psychiatric admission?","Addressing the patient by their diagnosis","Using person-centred language and involving the patient in care decisions","Restricting all leave to prevent elopement","Avoiding discussion of the patient\'s mental illness","2","Using person-centred language and involving the patient in care decisions","Person-centred care involves the patient in all decisions, uses dignified language, respects preferences, and promotes autonomy — foundational to recovery-oriented practice."
"psych-nursing-communication","18","medium","A patient with schizophrenia says ""The TV is sending me messages."" The BEST nursing response is:","""That\'s not real — the TV cannot send you messages.""","""I understand this feels very real to you. Can you tell me more about what you\'re experiencing?""","""Let\'s turn the TV off so that stops.""","""Have you taken your medication today?""","2","""I understand this feels very real to you. Can you tell me more about what you\'re experiencing?""","Do not agree with delusions or confront them harshly. Acknowledge the patient's experience empathetically without reinforcing the delusion content. This builds trust and allows further assessment."
"psych-nursing-communication","19","medium","Informed consent in psychiatric care requires that the patient:","Signs a standard consent form on admission covering all future treatments","Receives information about proposed treatment, risks, benefits, and alternatives, and voluntarily agrees","Is competent as determined by the nurse alone","Consents at least 24 hours before any intervention","2","Receives information about proposed treatment, risks, benefits, and alternatives, and voluntarily agrees","Valid informed consent: adequate information (diagnosis, treatment, risks, benefits, alternatives), decision-making capacity, and voluntariness (free from coercion). It is an ongoing process, not a one-time signature."
"psych-nursing-communication","20","easy","SBAR (Situation-Background-Assessment-Recommendation) in psychiatric nursing is used primarily for:","Patient education about their diagnosis","Structured clinical communication during handover or urgent escalation","Documenting medication administration","Completing risk assessments","2","Structured clinical communication during handover or urgent escalation","SBAR is a structured communication tool for safe, efficient handover and clinical escalation — critical in psychiatry where deterioration or risk changes must be clearly communicated."
"psych-nursing-communication","21","medium","A nurse notices a colleague is intoxicated while on duty in the psychiatric unit. The FIRST action is:","Ignore it as it is not your responsibility","Confront the colleague privately after the shift","Remove the colleague from patient care and report to the nurse manager immediately","Document the observation and wait for the shift to end","3","Remove the colleague from patient care and report to the nurse manager immediately","Patient safety is paramount. An intoxicated colleague poses an immediate risk. The nurse must act immediately to protect patients by removing the colleague from care and escalating to management."
"psych-nursing-communication","22","easy","The priority assessment question for a patient admitted after a suicide attempt is:","""What made you do this?""","""Do you still want to hurt yourself?""","""Are you angry with someone?""","""What is your support system like?""","2","""Do you still want to hurt yourself?""","Assessing current suicidal ideation is the immediate safety priority. ""Do you still want to hurt yourself?"" directly assesses ongoing risk and informs the level of observation required."
"psych-nursing-communication","23","medium","A patient with a history of self-harm is admitted and asks to keep a razor for grooming. The nurse should:","Allow it as it is the patient\'s right to maintain hygiene","Store the razor in a locked area and supervise its use according to policy","Refuse and explain it is a hospital rule without further explanation","Confiscate it without explanation","2","Store the razor in a locked area and supervise its use according to policy","Sharp objects must be stored safely per unit policy. The patient can access supervised for hygiene purposes. Confiscation without explanation or denying access entirely both violate patient dignity and therapeutic principles."
"psych-nursing-communication","24","medium","Peplau's phases of the nurse-patient relationship are:","Assessment, planning, implementation, evaluation","Orientation, working (identification/exploitation), resolution (termination)","Trust, empathy, rapport, respect","Introduction, therapeutic engagement, discharge planning","2","Orientation, working (identification/exploitation), resolution (termination)","Peplau (1952) described four phases: orientation (establishing relationship/goals), identification (patient identifies with nurse), exploitation (uses therapeutic services), resolution (termination as goals are met)."
"psych-nursing-communication","25","easy","A patient refuses to attend group therapy. The BEST nursing response is:","""Attendance is mandatory for all patients.""","""Tell me what concerns you about group therapy — we can discuss your options.""","""You\'ll feel better if you go.""","""I\'ll document that you refused.""","2","""Tell me what concerns you about group therapy — we can discuss your options.""","Exploring the patient's concerns respects autonomy and may identify barriers that can be addressed. Coercion is counterproductive; the nurse should engage collaboratively around treatment goals."
"psych-nursing-mood","1","medium","A depressed patient has not left bed for 2 days, eats minimally, and refuses all engagement. The PRIORITY nursing diagnosis is:","Risk for imbalanced nutrition","Hopelessness related to depression","Risk for self-directed violence","Social isolation","3","Risk for self-directed violence","In a severely withdrawn depressed patient, the priority diagnosis is always safety-related. Depression significantly elevates suicide risk — this must be assessed and addressed first."
"psych-nursing-mood","2","easy","An appropriate short-term goal for a patient with major depression is:","Patient will feel happy within one week","Patient will identify two personal strengths by end of the week","Patient will participate in all activities of daily living within 24 hours","Patient will form new friendships before discharge","2","Patient will identify two personal strengths by end of the week","Goals must be measurable, realistic, and time-limited. Identifying strengths is achievable and builds cognitive reframing skills. Immediate full ADL participation or happiness are unrealistic."
"psych-nursing-mood","3","easy","The nurse is caring for a patient on lithium. Which dietary instruction is MOST important?","Increase sodium intake to prevent toxicity","Maintain consistent sodium and fluid intake","Avoid caffeine-containing beverages completely","Follow a high-protein diet","2","Maintain consistent sodium and fluid intake","Lithium clearance is tied to sodium: low sodium diet increases lithium reabsorption → toxicity. Consistent sodium and adequate fluid intake (2–3 L/day) stabilise lithium levels."
"psych-nursing-mood","4","easy","A patient started on an SSRI asks ""When will I feel better?"" The BEST response is:","""Most people feel better the same day they start the medication.""","""It usually takes 2–4 weeks for the full antidepressant effect, though you may notice some improvement in sleep earlier.""","""Everyone is different — there\'s no way to know.""","""If it doesn\'t work in a week, we\'ll change it.""","2","""It usually takes 2–4 weeks for the full antidepressant effect, though you may notice some improvement in sleep earlier.""","SSRIs typically take 2–4 weeks for antidepressant effect (sleep and energy may improve first). Accurate education prevents early discontinuation, which is a major cause of treatment failure."
